Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-25-2025,,89.989997863769531,-89.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.96945689213973341,-0.96945689213973341,,0.0096945689213973358,-0.0096945689213973358,,89.989997863769531,-89.989997863769531,,2159.75969126705,-2159.75969126705
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-18-2025,,89.989997863769531,-89.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.70701676685470649,-0.70701676685470649,,0.0070701676685470645,-0.0070701676685470645,,89.989997863769531,-89.989997863769531,,2159.75969126705,-2159.75969126705
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-11-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-04-2025,,79.989997863769531,-79.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.5447111856077721,-0.5447111856077721,,0.005447111856077721,-0.005447111856077721,,79.989997863769531,-79.989997863769531,,1919.7597198772764,-1919.7597198772764
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-28-2024,,79.989997863769531,-79.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.78215990917590283,-0.78215990917590283,,0.00782159909175903,-0.00782159909175903,,79.989997863769531,-79.989997863769531,,1919.7597198772764,-1919.7597198772764
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-21-2024,,549.94000244140625,-549.94000244140625,,0.25000002980232239,-0.25000002980232239,,4.704015825340834,-4.704015825340834,,0.047040158253408342,-0.047040158253408342,,91.6566670735677,-91.6566670735677,,2199.7597475338284,-2199.7597475338284
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-14-2024,,524.94000244140625,-524.94000244140625,,0.25000002980232239,-0.25000002980232239,,3.5420086797078505,-3.5420086797078505,,0.035420086797078511,-0.035420086797078511,,87.490000406901046,-87.490000406901046,,2099.759759454756,-2099.759759454756
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-07-2024,,89.989997863769531,-89.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.61783422912247365,-0.61783422912247365,,0.0061783422912247369,-0.0061783422912247369,,89.989997863769531,-89.989997863769531,,2159.75969126705,-2159.75969126705
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 11-30-2024,,189.97999572753906,-189.97999572753906,,0.0833333432674408,-0.0833333432674408,,1.5621781945608966,-1.5621781945608966,,0.015621781945608967,-0.015621781945608967,,94.989997863769531,-94.989997863769531,,2279.7596769619372,-2279.7596769619372
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 11-23-2024,,,,,,,,,,,,,,,,,,
